cancer_type_abbr,r_id,gene,tool
GBM,250005814,PCDHGC5,e-driver
GBM,250005814,ASAP1,e-driver
GBM,250005814,TJP2,e-driver
GBM,250005814,SLC7A14,e-driver
GBM,250005814,ZNF582,e-driver
GBM,250005814,CR1,e-driver
GBM,250005814,SEL1L,e-driver
GBM,250005814,PPM1E,e-driver
GBM,250005814,PLXNA3,e-driver
GBM,250005814,OBSCN,e-driver
GBM,250005814,ITGA11,e-driver
GBM,250005814,DDX54,e-driver
GBM,250005814,LGR5,e-driver
GBM,250005814,NOS1,e-driver
GBM,250005814,PLXNA1,e-driver
GBM,250005814,SVEP1,e-driver
GBM,250005814,NELL1,e-driver
GBM,250005814,AOC2,e-driver
GBM,250005814,ITGAL,e-driver
GBM,250005814,CSMD3,e-driver
GBM,250005814,GCNA,e-driver
GBM,250005814,CCDC105,e-driver
GBM,250005814,PCDHA13,e-driver
GBM,250005814,PIK3CA,e-driver
GBM,250005814,PCDHA9,e-driver
GBM,250005814,PCDHA1,e-driver
GBM,250005814,PCDHA2,e-driver
GBM,250005814,USP19,e-driver
GBM,250005814,MAN2B1,e-driver
GBM,250005814,,e-driver
GBM,250005814,ACTN1,e-driver
GBM,250005814,MPHOSPH8,e-driver
GBM,250005814,KRT8,e-driver
GBM,250005814,ACTR8,e-driver
GBM,250005814,LAMB2,e-driver
GBM,250005814,MYF5,e-driver
GBM,250005814,GRK3,e-driver
GBM,250005814,RBM19,e-driver
GBM,250005814,CRTAC1,e-driver
GBM,250005814,STAT6,e-driver
GBM,250005814,FANCA,e-driver
GBM,250005814,EPB41L4B,e-driver
GBM,250005814,BRD4,e-driver
GBM,250005814,IMPDH1,e-driver
GBM,250005814,MYOF,e-driver
GBM,250005814,RPS6KC1,e-driver
GBM,250005814,EGFR,e-driver
GBM,250005814,TRERF1,e-driver
GBM,250005814,LPA,e-driver
GBM,250005814,SFSWAP,e-driver
GBM,250005814,FRMPD3,e-driver
GBM,250005814,NFIL3,e-driver
GBM,250005814,FCGBP,e-driver
GBM,250005814,RALGDS,e-driver
GBM,250005814,ITSN1,e-driver
GBM,250005814,CPAMD8,e-driver
GBM,250005814,SMC3,e-driver
GBM,250005814,ADAM30,e-driver
GBM,250005814,EPPK1,e-driver
GBM,250005814,PCDHB11,e-driver
GBM,250005814,PCDHB13,e-driver
GBM,250005814,CABP1,e-driver
GBM,250005814,CACNA2D1,e-driver
GBM,250005814,ITGB7,e-driver
GBM,250005814,PLXNA2,e-driver
GBM,250005814,SEL1L2,e-driver
GBM,250005814,SPTAN1,e-driver
GBM,250005814,FBXL2,e-driver
GBM,250005814,SMC1A,e-driver
GBM,250005814,MEPCE,e-driver
GBM,250005814,GART,e-driver
GBM,250005814,ENPP2,e-driver
GBM,250005814,SEZ6L,e-driver
GBM,250005814,TNN,e-driver
GBM,250005814,MAP3K7,e-driver
GBM,250005814,WASHC4,e-driver
GBM,250005814,LMO7,e-driver
GBM,250005814,SFMBT2,e-driver
GBM,250005814,PTPN11,e-driver
GBM,250005814,ABCC9,e-driver
GBM,250005814,MOV10L1,e-driver
GBM,250005814,TULP2,e-driver
GBM,250005814,AREL1,e-driver
GBM,250005814,HMCN1,e-driver
GBM,250005814,FREM1,e-driver
GBM,250005814,ADAMTS16,e-driver
GBM,250005814,ARHGEF5,e-driver
GBM,250005814,CCBE1,e-driver
GBM,250005814,NOS3,e-driver
GBM,250005814,ZHX3,e-driver
GBM,250005814,CREBBP,e-driver
GBM,250005814,PCDH15,e-driver
GBM,250005814,MYLIP,e-driver
GBM,250005814,ATP2A1,e-driver
GBM,250005814,TRRAP,e-driver
GBM,250005814,LRP6,e-driver
GBM,250005814,PARP9,e-driver
GBM,250005814,ADCY7,e-driver
GBM,250005814,USP2,e-driver
GBM,250005814,OSBP2,e-driver
GBM,250005814,ADAM29,e-driver
GBM,250005814,E2F8,e-driver
GBM,250005814,MKI67,e-driver
GBM,250005814,CUX1,e-driver
GBM,250005814,ZNF195,e-driver
GBM,250005814,PTPRN,e-driver
GBM,250005814,CRB1,e-driver
GBM,250005814,FN1,e-driver
GBM,250005814,GPRASP2,e-driver
GBM,250005814,DNAH1,e-driver
GBM,250005814,MYLK,e-driver
GBM,250005814,ATP2A2,e-driver
GBM,250005814,ACAP1,e-driver
GBM,250005814,DST,e-driver
GBM,250005814,DGKK,e-driver
GBM,250005814,FGG,e-driver
GBM,250005814,NCOA2,e-driver
GBM,250005814,NCAM1,e-driver
GBM,250005814,PKN1,e-driver
GBM,250005814,CELSR3,e-driver
GBM,250005814,TBX22,e-driver
GBM,250005814,FGD4,e-driver
GBM,250005814,HCN3,e-driver
GBM,250005814,DNMT1,e-driver
GBM,250005814,ZNF439,e-driver
GBM,250005814,RPS6KL1,e-driver
GBM,250005814,ADGRG4,e-driver
GBM,250005814,CELSR1,e-driver
GBM,250005814,ZNF878,e-driver
GBM,250005814,IGSF22,e-driver
GBM,250005814,KALRN,e-driver
GBM,250005814,ERBB2,e-driver
GBM,250005814,ATP2B4,e-driver
GBM,250005814,RASSF5,e-driver
GBM,250005814,PSD3,e-driver
GBM,250005814,JAG1,e-driver
GBM,250005814,ZNF615,e-driver
GBM,250005814,ZFP57,e-driver
GBM,250005814,SLAMF1,e-driver
GBM,250005814,FLNA,e-driver
GBM,250005814,KMT2C,e-driver
GBM,250005814,SI,e-driver
GBM,250005814,MYO1D,e-driver
GBM,250005814,STAB1,e-driver
GBM,250005814,ZNF557,e-driver
GBM,250005814,MAPKAPK2,e-driver
GBM,250005814,TLL1,e-driver
GBM,250005814,PCSK7,e-driver
GBM,250005814,NAGLU,e-driver
GBM,250005814,NUP98,e-driver
GBM,250005814,MCC,e-driver
GBM,250005814,A1CF,e-driver
GBM,250005814,UBE4B,e-driver
GBM,250005814,ZNF836,e-driver
GBM,250005814,ITGB2,e-driver
GBM,250005814,SVOPL,e-driver
GBM,250005814,GPLD1,e-driver
GBM,250005814,ITGA2B,e-driver
GBM,250005814,NRDC,e-driver
GBM,250005814,HERC2,e-driver
GBM,250005814,ARAP2,e-driver
GBM,250005814,EXTL3,e-driver
GBM,250005814,FAT4,e-driver
GBM,250005814,HTR2C,e-driver
GBM,250005814,CD209,e-driver
GBM,250005814,UTRN,e-driver
GBM,250005814,CHRNB2,e-driver
GBM,250005814,NAA25,e-driver
GBM,250005814,BOC,e-driver
GBM,250005814,MUTYH,e-driver
GBM,250005814,MTOR,e-driver
GBM,250005814,BRCA2,e-driver
GBM,250005814,SH3PXD2A,e-driver
GBM,250005814,ACOX3,e-driver
GBM,250005814,ZKSCAN5,e-driver
GBM,250005814,IGFN1,e-driver
GBM,250005814,HSP90AA1,e-driver
GBM,250005814,C2CD6,e-driver
GBM,250005814,AEBP1,e-driver
GBM,250005814,CEACAM5,e-driver
GBM,250005814,EPHB4,e-driver
GBM,250005814,BAZ1B,e-driver
GBM,250005814,ARFGEF3,e-driver
GBM,250005814,ST14,e-driver
GBM,250005814,SYNE2,e-driver
GBM,250005814,SH2B1,e-driver
GBM,250005814,SPINK5,e-driver
GBM,250005814,KRT16,e-driver
GBM,250005814,SRGAP3,e-driver
GBM,250005814,MMP2,e-driver
GBM,250005814,EPHA1,e-driver
GBM,250005814,CLIP2,e-driver
GBM,250005814,ADGRG6,e-driver
GBM,250005814,ZNF283,e-driver
GBM,250005814,PTEN,e-driver
GBM,250005814,ANKRD36B,e-driver
GBM,250005814,MOCS1,e-driver
GBM,250005814,KRT13,e-driver
GBM,250005814,HELZ2,e-driver
GBM,250005814,PRDM9,e-driver
GBM,250005814,GUCY2D,e-driver
GBM,250005814,CLCN7,e-driver
GBM,250005814,ADAMTS10,e-driver
GBM,250005814,DSCAM,e-driver
GBM,250005814,CTDP1,e-driver
GBM,250005814,FOXM1,e-driver
GBM,250005814,KCND3,e-driver
GBM,250005814,DUOX2,e-driver
GBM,250005814,KIF1B,e-driver
GBM,250005814,DHX58,e-driver
